,location_name,location_id,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date
16,Aragon,60358,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
17,Argentina,97,2020-03-20,2020-04-27,2020-03-20,,2020-03-16,,2020-03-15,,2020-03-20,,2020-03-20,
18,Arizona,525,,,2020-03-30,2020-05-16,2020-03-16,,2020-03-30,2020-05-16,2020-03-30,2020-05-16,,
19,Arkansas,526,,,,,2020-03-17,2020-08-24,2020-03-27,2020-06-18,2020-03-19,,,
20,Armenia,33,2020-04-03,2020-04-22,2020-03-24,2020-05-04,2020-03-13,,2020-03-16,,2020-03-24,,2020-03-24,2020-04-23
21,Arunachal Pradesh,4842,2020-03-23,2020-05-04,2020-03-23,2020-06-01,2020-03-17,,2020-03-23,,2020-03-17,,2020-03-17,2020-05-04
22,Assam,4843,2020-03-24,2020-05-05,2020-03-24,2020-06-01,2020-03-15,,2020-03-24,,2020-03-24,,2020-03-24,2020-04-21
23,Asturias,60365,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
24,Australia,71,,,,,,,2020-03-20,,2020-03-23,,,
25,Austria,75,,,2020-03-16,2020-05-01,2020-03-16,2020-06-03,2020-03-10,,2020-03-16,2020-05-01,2020-03-16,2020-04-13
26,Azad Jammu & Kashmir,53615,,,2020-03-24,2020-05-09,2020-03-13,,2020-03-24,,2020-03-24,,2020-03-24,2020-04-15
27,Azerbaijan,34,2020-02-29,2020-05-18,2020-04-05,,2020-03-03,,2020-03-24,,2020-03-14,,2020-03-14,2020-05-31
28,Baden-Württemberg,60377,,,2020-03-21,2020-05-11,2020-03-17,,2020-03-21,,2020-03-21,,2020-03-21,2020-04-20
29,Bahamas,106,2020-03-20,2020-06-01,2020-03-24,2020-06-08,2020-03-16,,2020-03-16,,2020-03-20,,2020-03-20,2020-06-08
30,Bahia,4754,,,,,2020-03-17,,2020-03-27,,,,,
31,Bahrain,140,,,,,2020-02-26,,2020-03-18,,2020-03-18,,2020-03-26,2020-04-09
32,Baja California,4644,,,2020-06-22,,2020-03-19,,2020-03-18,,2020-03-23,,2020-03-30,
33,Baja California Sur,4645,,,2020-06-23,,2020-03-19,,2020-03-16,,2020-03-23,,2020-03-30,
34,Balearic Islands,60363,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
35,Balochistan,53616,,,2020-03-24,2020-05-09,2020-02-27,,2020-03-24,,2020-03-24,,2020-03-24,2020-04-15
36,Bangladesh,161,2020-03-16,2020-06-01,2020-03-26,2020-06-01,2020-03-17,,2020-03-19,,2020-03-26,,2020-03-26,2020-05-05
37,Barbados,107,,,2020-04-03,2020-05-04,2020-03-25,2020-06-15,2020-03-17,,2020-03-28,2020-06-22,2020-03-28,2020-05-04
38,Basilicata,35511,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
